gene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj
RPB7,1711.7697463874197,0.03608608737996457,0.05653827956612596,0.05448058905060879,0.7732988153297525
MRP20,4398.302409500718,0.00826682895241029,0.03499051105729633,0.5080958551945115,0.9257677588611768
RPS42,14532.921673114117,0.01171143656609922,0.03604238953372055,0.4199087112408873,0.8992310602585232
ISN1,1809.656111565482,0.00192895102666791,0.03391231119457817,0.8787529102760349,0.9845001225932988
ESP1,2966.1656688553717,-0.00353561812608233,0.03230538127058943,0.8189156828260775,0.9785075087566634
FYV4,3340.283080838139,0.00429365772439953,0.03357275407641461,0.7286625950281458,0.9684211106498756
LSC1,24684.504481513875,-0.01595681409198839,0.0380756922046591,0.17749002485798307,0.84788342586634
ARP8,5413.006165513376,0.00144278993565501,0.03446284729275138,0.8998384853208761,0.9862334386744498
CTN1,112.88150412740715,-0.00631718596903914,0.03623887397036904,0.4553883277352468,0.9051703812531232
FGR38,1010.7317240757778,1.2867998989087514e-4,0.03195612002050654,0.993032345106732,0.9992571919699984
MAK32,591.7684820081156,0.02149587550622527,0.03963544062874081,0.1994780804834039,0.84788342586634
HOL4,1820.787563719241,0.13361998904981787,0.06193770370380958,0.00156110494422007,0.11420815317532006
SWI4,4048.863674995969,-0.01334061047647558,0.03868247090600217,0.15155195045178146,0.84788342586634
NRI2,1223.4725975303,-0.00302427377927264,0.03098666298269396,0.8545494068436936,0.9845001225932988
UGA2,1228.4955964570108,0.01631711855931312,0.03600103566159662,0.31451636813775147,0.8799189808953544
UBC8,1081.8460836475006,-0.00672620355460492,0.03460057965583124,0.601995337802856,0.9439763837582724
CYS4,14740.683031731836,0.01123748505566885,0.03204964973609325,0.38360218353631415,0.8923716317195922
PTR3,1368.47446515743,-0.02819780551836745,0.03911742326900417,0.16290545770172393,0.84788342586634
ROA1,19201.57301863615,-0.0044678611146271,0.03010428003068617,0.78301135666533,0.974899473941676
HGT1,3691.532157229143,-2.93281669763161e-5,0.03638770258360419,0.990574741752184,0.9992571919699984
HSP30,41.08173733325376,-0.00289802055881507,0.03644244895046131,0.47984356393226296,0.9161621706014148
ZCF24,596.8147653399508,0.00286762135056232,0.03388752838118333,0.8262605624411952,0.979029693531249
PHO91,3671.8821974637326,0.01172385834205842,0.03511527137840711,0.44885111375634174,0.903593008115074
HSP31,47.59639579023543,-0.01170875405741817,0.03873362813981967,0.06713410961900476,0.7897019165492577
SET6,1529.919499311996,0.01449058107326656,0.03630832079670298,0.3410326686118331,0.8875609058152386
HGT2,255.7619052222587,-0.00519691603268746,0.03599576675952586,0.5347106252551251,0.931178721052276
SHA3,20256.006594836483,0.00257114005841389,0.03640692302294331,0.532475482753144,0.931178721052276
GAL1,2919.0641862512307,-1.039363548799731e-5,0.03636420658797015,0.9935334538936748,0.9992571919699984
